symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"itchy skin, burning sensation, hives, red rash, swelling",Skin Allergy,Loratadine,Turmeric,Avoid allergens,"Identify and avoid triggers, keep skin moisturized",No
"numbness, tingling",Arm Pain,Paracetamol,Vishgarbha Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"stiffness, instability, knee ache, swelling",Knee Pain,Hyaluronic Acid,Shallaki,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"swelling, cracking, burning, dryness, lip soreness",Lip Pain,Antiviral Cream,Aloe Vera,Avoid licking lips,Keep lips moisturized and protected from environmental factors,No
"burning, watery eyes, red eyes",Eye Irritation,Antibiotic Drops,Haridra,Rose water,"Avoid allergens and irritants, practice good eye hygiene",No
"swelling, tenderness, pain",Bruises,Pain Relievers,Aloe Vera,Avoid further injury,Most bruises heal naturally within 2-3 weeks,No
"fatigue, headache, dehydration, muscle aches",Hangover,Pain Relievers,Turmeric,Drink water,Time and hydration are the best cures for hangover,No
"minor blisters, swelling, pain, redness",Minor Burns,Aloe Vera,Turmeric,Aloe vera,"Cool water immediately, keep burn clean and protected",No
"rattling sound, chest congestion, mucus, productive cough, difficulty breathing",Wet Cough,Salbutamol,Kantakari,Honey,Expectorants help thin mucus and make coughing more productive,No
"greasy feeling, blackheads, acne, shiny skin, enlarged pores",Oily Skin,Salicylic Acid,Rose Water,Use toner,Use oil-free products and maintain consistent skincare routine,No
"constipation, loss of appetite, fever",Appendicitis,IV Fluids,Bilva,Apply heat carefully,Appendicitis requires immediate surgery - do not delay treatment,Yes
"red rash, swelling",Skin Allergy,Calamine,Turmeric,Avoid allergens,"Identify and avoid triggers, keep skin moisturized",No
"hoarse voice, pitch changes, vocal fatigue, throat clearing, voice loss",Voice Problems,Pain Relievers,Yashtimadhu,Steam inhalation,Rest your voice and stay hydrated for vocal cord healing,No
"swelling, toe ache",Toe Pain,Ibuprofen,Turmeric,Toe exercises,Proper foot care and well-fitting shoes prevent most toe problems,No
"shiny skin, blackheads, greasy feeling, enlarged pores, acne",Oily Skin,Clay Masks,Turmeric,Oil-free cleansers,Use oil-free products and maintain consistent skincare routine,No
"weakness, swelling, arm ache, numbness, stiffness",Arm Pain,Paracetamol,Rasna,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"headache, confusion, high body temperature, rapid pulse, nausea",Heat Stroke,Cooling Measures,Rose Water,Move to cool place,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"excessive sweating, underarm odor",Body Odor,Antiperspirants,Neem,Daily bathing,Good personal hygiene and appropriate products control body odor,No
"difficulty walking, limited movement",Hip Pain,Paracetamol,Rasna,Heat therapy,Hip pain often improves with physiotherapy and appropriate exercises,No
"cramps, weakness, stiffness, swelling",Leg Pain,Compression Stockings,Nirgundi,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"fatigue, confusion, pale stools, swelling",Liver Failure,Albumin,Kutki,Seek immediate medical care,Liver failure is life-threatening and requires emergency hospitalization,Yes
"vomiting, fatigue, nausea, sweating",Motion Sickness,Meclizine,Fennel,Fresh air,Take motion sickness medication before traveling,No
"nausea, fever, constipation, severe abdominal pain, vomiting",Appendicitis,IV Fluids,Triphala,Call emergency,Appendicitis requires immediate surgery - do not delay treatment,Yes
"dizziness, urge to vomit, loss of appetite, feeling sick, sweating",Nausea,Ondansetron,Lavang,Fresh air,Stay hydrated and eat bland foods when nauseous,No
"stiffness, tenderness, ankle ache, swelling, difficulty walking",Ankle Pain,Ankle Support,Nirgundi,Proper footwear,Most ankle injuries heal with rest and appropriate care,No
"stiff neck, sensitivity to light, fever, confusion",Meningitis,Mannitol,Medhya Rasayan,Avoid close contact,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"burning, difficulty eating, tongue soreness",Tongue Pain,Antifungal Medications,Triphala,Good oral hygiene,Most tongue pain resolves with proper oral care and avoiding irritants,No
"bloating, belching",Gastritis,Simethicone,Amalaki,Small frequent meals,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"unable to speak, panic, clutching throat",Choking,Intubation,CPR if needed,CPR if unconscious,Perform Heimlich maneuver immediately and call emergency services,Yes
"red skin, pain, blisters, peeling",Sunburn,Pain Relievers,Turmeric,Stay hydrated,Prevent sunburn with sunscreen and protective clothing,No
"pain, bleeding, open wound",Minor Cuts,Antibiotic Ointment,Neem,Clean wound,"Keep wound clean and dry, change dressing regularly",No
"shiny skin, enlarged pores, blackheads",Oily Skin,Benzoyl Peroxide,Rose Water,Clay masks,Use oil-free products and maintain consistent skincare routine,No
"weight loss, fatigue",Diabetes Type 2,Glimepiride,Jamun,Exercise regularly,Diabetes can be well managed with proper medication and lifestyle changes,No
"concentration problems, irritability, mood changes, daytime fatigue, early morning awakening",Insomnia,Eszopiclone,Tagara,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"throbbing pain, swelling, sensitivity, pain while chewing, toothache",Tooth Pain,Paracetamol,Akarkara,Cold compress,See dentist promptly for proper diagnosis and treatment,No
"swelling, leg ache, cramps, tingling",Leg Pain,Paracetamol,Mahanarayana Oil,Leg elevation,Regular exercise and proper posture help prevent leg pain,No
"mouth soreness, burning, ulcers",Mouth Pain,Vitamin B12,Yashtimadhu,Good oral hygiene,Maintain good oral hygiene and avoid irritating foods,No
"nausea, sensitivity to light, fatigue, sensitivity to sound",Migraine,Propranolol,Shankhpushpi,Rest in dark room,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"wheezing, difficulty breathing, chest tightness",Breathing Problems,Expectorants,Sitopaladi Churna,Avoid triggers,"Identify and avoid breathing triggers, keep rescue medications handy",No
"nausea, vomiting",Motion Sickness,Ondansetron,Cardamom,Fresh air,Take motion sickness medication before traveling,No
"excessive sweating, foot odor, underarm odor",Body Odor,Prescription Products,Turmeric,Clean clothes,Good personal hygiene and appropriate products control body odor,No
"dehydration, weakness",Vomiting,Ondansetron,Pudina,Rest,Replace lost fluids and seek help if vomiting persists,No
"toothache, throbbing pain",Tooth Pain,Ibuprofen,Clove Oil,Salt water rinse,See dentist promptly for proper diagnosis and treatment,No
"swelling, finger ache",Finger Pain,Finger Splints,Nirgundi,Avoid overuse,Keep fingers active with gentle exercises to maintain mobility,No
"instability, swelling, knee ache, clicking sound",Knee Pain,Hyaluronic Acid,Yograj Guggulu,Weight management,Maintain healthy weight and do regular low-impact exercises for knee health,No
"fatigue, slow wound healing, bone pain",Vitamin D Deficiency,Cholecalciferol,Laksha,Sunlight exposure,Regular sunlight exposure and vitamin D supplements help,No
"tiredness, lack of energy",Fatigue,Multivitamins,Brahmi,Regular exercise,Maintain regular sleep schedule and balanced diet for energy,No
"mouth odor, bad taste, white tongue coating",Bad Breath,Antibacterial Mouthwash,Clove,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"heartburn, nausea, belching",Gastritis,Sucralfate,Yashtimadhu,Small frequent meals,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"muscle pain, difficulty breathing, unconsciousness, irregular heartbeat, burns",Electrocution,Tetanus Shot,Jatyadi Ghrita for burns,Turn off power source,Turn off power source before helping and seek immediate medical attention,Yes
"morning headaches, loud breathing during sleep",Snoring,Oral Appliances,Turmeric,Nasal strips,Weight loss and sleeping position changes often reduce snoring,No
"enlarged pores, shiny skin, greasy feeling, blackheads, acne",Oily Skin,Benzoyl Peroxide,Neem,Oil-free cleansers,Use oil-free products and maintain consistent skincare routine,No
"swelling, weakness, pain with gripping",Elbow Pain,Ibuprofen,Mahanarayana Oil,Avoid repetitive activities,Elbow pain improves with rest and avoiding aggravating activities,No
"unintended weight loss, fatigue",Weight Loss,Multivitamins,Shatavari,Protein rich diet,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"swelling, itching, bumps, burning",Skin Rash,Moisturizers,Manjistha,Oatmeal bath,"Keep skin clean and moisturized, identify and avoid triggers",No
"swelling, difficulty gripping, stiffness",Finger Pain,Topical Gels,Rasna,Warm water soak,Keep fingers active with gentle exercises to maintain mobility,No
"fatigue, high body temperature, dehydration, muscle aches",Fever,Ibuprofen,Mahasudarshan Churna,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"nausea, visual disturbances",Migraine,Rizatriptan,Brahmi,Rest in dark room,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"panic, difficulty concentrating, sleep problems, excessive worry",Anxiety,Clonazepam,Shankhpushpi,Meditation,Practice relaxation techniques and consider counseling for anxiety management,No
"difficulty breathing, rattling sound, productive cough",Wet Cough,Expectorants,Bharangi,Ginger tea,Expectorants help thin mucus and make coughing more productive,No
"confusion, weakness",Diabetic Emergency,Metformin,Karela,Call emergency,Diabetic emergency requires immediate hospital care,Yes
"fatigue, rapid breathing",Asthma,Theophylline,Vasaka,Avoid triggers,Always carry rescue inhaler and identify your asthma triggers,No
"swelling, difficulty walking, ankle ache, tenderness",Ankle Pain,Topical Gels,Eranda,Elevation,Most ankle injuries heal with rest and appropriate care,No
"headache, pain turning head, neck stiffness, shoulder pain",Neck Pain,Ibuprofen,Vishgarbha Oil,Avoid sudden movements,Maintain good posture and use ergonomic workstation setup,No
"non-productive cough, tickling sensation, chest discomfort, throat irritation",Dry Cough,Steam Inhalation,Mulethi,Throat lozenges,Stay hydrated and use humidifier to soothe throat,No
"dizziness, vision problems",Stroke,Amlodipine,Shankhpushpi,Do not give food or water,Time is brain - every minute matters in stroke treatment,Yes
"cold toes, numbness, tingling, poor circulation",Cold Feet,Exercise,Sesame Oil,Exercise,"Keep feet warm and dry, improve circulation with movement",No
"fatigue, loose clothing, unintended weight loss",Weight Loss,Multivitamins,Vidarikand,Protein rich diet,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"numbness, weakness",Arm Pain,Ibuprofen,Vishgarbha Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"difficulty concentrating, losing things, poor focus, confusion",Memory Problems,Modafinil,Brahmi,Puzzles,Keep mind active with mental exercises and maintain healthy lifestyle,No
"burning, muscle pain, chest discomfort, pain with breathing, tightness",Chest Pain,Paracetamol,Brahmi,Avoid triggers,Non-cardiac chest pain usually responds to rest and pain relief,No
"nausea, bloating, frequent bowel movements",Diarrhea,Metronidazole,Jeeraka Aristha,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"stiffness, limited movement, shoulder ache",Shoulder Pain,Topical Gels,Yograj Guggulu,Avoid overhead activities,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"hot dry skin, high body temperature",Heat Stroke,Monitoring,Fennel Water,Remove excess clothing,Heat stroke is life-threatening - immediate cooling and medical care needed,Yes
"fatigue, shortness of breath, confusion, swelling",Kidney Failure,Calcium Carbonate,Sariva,Call emergency,Kidney failure requires immediate medical intervention and dialysis,Yes
"tickling sensation, chest discomfort",Dry Cough,Throat Lozenges,Kantakari,Honey with warm water,Stay hydrated and use humidifier to soothe throat,No
"blackheads, shiny skin",Oily Skin,Salicylic Acid,Multani Mitti,Oil-free cleansers,Use oil-free products and maintain consistent skincare routine,No
"morning stiffness, joint pain, reduced mobility, joint warmth, swelling",Arthritis,Chondroitin,Shallaki,Turmeric milk,Regular exercise and physiotherapy help maintain joint mobility,No
"lack of energy, weakness, tiredness, sleepiness, difficulty concentrating",Fatigue,B12,Ashwagandha,Healthy diet,Maintain regular sleep schedule and balanced diet for energy,No
"bleeding, open wound",Minor Cuts,Bandages,Neem,Antiseptic,"Keep wound clean and dry, change dressing regularly",No
"loose clothing, fatigue, loss of muscle mass, weakness, unintended weight loss",Weight Loss,Protein Powder,Shatavari,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
